temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
620,13,6.32,0.09371048715370785,0.9987951807228915,0.0164,0.0062,0.036,0.0553,6.797,94.976
630,13,6.32,0.09980707958818355,0.998868778280543,0.0174,0.0066,0.0383,0.0589,6.7783,94.9665
640,13,6.32,0.10612947174245477,0.9989361702127659,0.0185,0.007,0.0407,0.0626,6.7589,94.9566
650,13,6.32,0.11264943865154685,0.9989977449260836,0.0197,0.0074,0.0432,0.0665,6.7388,94.9464
660,13,6.32,0.11939520528043444,0.9992907801418439,0.0209,0.0079,0.0458,0.0705,6.7181,94.9358
670,13,6.32,0.12633854666414293,0.9993297587131367,0.0221,0.0083,0.0485,0.0746,6.6967,94.9249
680,13,6.32,0.1334935752851596,0.9993657505285412,0.0233,0.0088,0.0513,0.0788,6.6747,94.9137
690,13,6.32,0.14084617866099716,0.9993987975951903,0.0246,0.0093,0.0541,0.0832,6.6521,94.9022
700,13,6.32,0.14839635679165586,0.9994294408520351,0.0259,0.0098,0.057,0.0876,6.6289,94.8904
710,13,6.32,0.15614410967713546,0.9994577006507592,0.0273,0.0103,0.06,0.0922,6.6051,94.8783
720,13,6.32,0.16407532483494877,0.9994839153621194,0.0287,0.0108,0.063,0.0969,6.5807,94.8659
730,13,6.32,0.1721900022650959,0.9996721848877234,0.0301,0.0113,0.0661,0.1017,6.5557,94.8531
740,13,6.32,0.18048814196757673,0.999687206756334,0.0315,0.0119,0.0693,0.1066,6.5302,94.8401
750,13,6.32,0.18894151897741707,0.999701224977592,0.033,0.0124,0.0726,0.1116,6.5041,94.8269
760,13,6.32,0.19757835825959097,0.9997142857142858,0.0345,0.013,0.0759,0.1167,6.4776,94.8134
770,13,6.32,0.20637043484912435,0.99972647702407,0.0361,0.0136,0.0793,0.1219,6.4505,94.7996
780,13,6.32,0.21531774874601697,0.9997378424433084,0.0376,0.0142,0.0827,0.1272,6.423,94.7856
790,13,6.32,0.2244202999502689,0.9997484593132939,0.0392,0.0148,0.0862,0.1326,6.395,94.7713
800,13,6.32,0.23364986349690586,0.9997583957477651,0.0408,0.0154,0.0897,0.138,6.3665,94.7568
810,13,6.32,0.24302055186841487,0.999767711962834,0.0425,0.016,0.0933,0.1436,6.3377,94.7422
820,13,6.32,0.25251825258230887,0.999776461383704,0.0441,0.0166,0.097,0.1492,6.3085,94.7273
830,13,6.32,0.2621429656385877,0.9997846683893196,0.0458,0.0173,0.1007,0.1549,6.2789,94.7122
